PWK	C57	AJ	129	WSB	CAS	NZO	NOD
94	1.12	1.29	1.17	0.92	0.98	0.96	1.24	0.86
95	1	0.78	0.73	1.22	0.71	0.82	1.17	1
96	1.75	1.29	1.28	1.61	0.96	0.84	1.23	1.36
97	1.05	1.29	1.35	1.08	0.74	0.74	0.93	1.22
98	1.13	0.78	0.97	1.11	0.87	1.03	0.89	0.95
99	1.03	0.78	1.02	1.06	1.02	1.04	0.88	1.06
100	1.03	0.78	0.95	0.92	0.84	0.97	0.79	1.08
101	0.93	0.78	0.98	0.88	0.89	0.94	0.75	1.06
102	1.04	0.79	0.99	1.37	0.99	0.85	1.59	1.08
103	1.27	0.79	1.13	1.03	0.73	0.93	0.89	1.12
104	0.97	0.79	0.93	1.13	1.17	1.11	0.99	0.99
105	1.79	1.28	1.4	1.59	1	0.94	1.35	1.08
106	0.98	0.79	0.99	0.88	0.94	1	0.74	1.08
107	0.83	0.79	0.9	0.89	1.04	0.97	0.91	0.96
108	0.98	0.79	0.85	1.14	1.02	0.81	1.24	1.03
109	0.75	0.79	0.95	1.94	1.45	0.93	0.67	1.09
110	1.15	0.79	1.11	0.87	0.91	1.08	0.73	1.05
111	1.01	0.79	0.95	0.95	1.16	1.3	1.14	0.92
112	1.01	1.27	0.85	0.86	1	1.04	0.76	0.89
113	1.03	1.27	1.26	0.97	1.13	1.02	1.02	1.02
114	1.05	0.79	1.06	0.99	1.04	1.09	0.84	1.05
115	0.98	1.27	0.94	0.88	0.94	1.12	0.81	0.99
116	0.96	1.27	1.05	0.81	1.01	0.91	1.02	1.06
117	1.28	0.8	1.56	1.4	0.95	0.84	1.48	0.84
118	0.76	0.8	0.7	0.86	0.84	1.03	0.57	1.39
119	1.01	0.8	0.9	1.07	0.91	0.83	1.01	1.16
120	1.07	1.26	0.96	1.4	1.02	1.12	0.87	1.09
121	1.02	0.8	1.6	1.34	0.94	1.01	1.38	0.83
122	1.15	1.26	1.06	1.07	1.05	1.15	0.96	1.09
123	0.94	0.8	1.09	1.22	0.92	0.92	1.39	0.95
124	1.09	1.26	0.97	1.14	1.04	0.94	0.86	1.01
125	1.44	1.26	0.82	1.33	0.85	1.43	1.03	1.31
126	1.16	1.26	1.06	1.26	0.64	1.1	1.59	1.01
127	1.03	0.8	1.11	1.02	1.05	0.98	0.94	1.05
128	0.96	0.8	1.05	0.95	0.89	0.93	0.78	1.05
129	0.92	0.8	1.09	1.04	0.96	0.93	0.98	0.97
130	1.48	1.25	1.04	1.28	0.82	0.78	1.03	1.48
131	0.83	0.8	0.79	0.63	0.89	0.93	0.66	0.94
132	0.89	0.8	1.08	1.35	1.01	0.76	1.16	1.07
133	1.03	0.8	0.89	1	0.93	0.99	0.79	1
134	1.01	1.25	1.12	1.65	0.56	0.65	1.4	1.06
135	1.02	0.81	1.06	0.96	0.89	0.94	1.35	1.05
136	0.94	0.81	0.85	0.72	1.33	1.4	0.74	0.82
137	0.95	1.25	0.91	0.94	1.18	1.08	0.9	1.17
138	0.92	1.25	0.98	0.87	0.93	0.89	1.06	1.06
139	1.25	1.25	1.1	1.09	1.07	1.07	0.9	1.21
140	1.41	0.81	1.09	0.88	1.34	0.93	0.68	0.93
141	0.86	1.25	0.95	0.7	1.11	0.98	0.91	0.88
142	0.95	1.25	1.04	0.92	1.07	1.03	0.9	0.9
143	1.68	1.25	0.93	1.15	0.7	0.84	0.87	1.29
144	1	1.24	1.18	1.24	1.15	1.07	1.14	1.28
145	5.22	0.81	0.81	0.95	1.07	4.01	0.93	0.85
146	1.46	0.81	1.03	1.5	0.68	0.82	0.82	1.16
147	1.03	1.24	0.91	1.13	0.87	1.21	0.91	1.19
148	1.01	0.81	1.09	1.13	0.91	0.97	1.1	1.07
