	F6_M_PWK	F6_F_PWK	F7_M_PWK	F10_F_PWK	F6_F_C57	F9_F_C57	F9_M_C57	F10_M_C57	F6_F_AJ	F7_M_AJ	F9_F_AJ	F9_M_AJ	F6_M_129	F7_M_129	F7_F_129	F10_F_129	F6_F_WSB	F9_M_WSB	F10_F_WSB	F10_M_WSB	F6_F_CAS	F7_M_CAS	F10_F_CAS	F10_M_CAS	F6_M_NZO	F7_F_NZO	F9_M_NZO	F10_F_NZO	F7_M_NOD	F7_F_NOD	F9_M_NOD	F9_F_NOD
Trio	6.625930865	6.96556978	0.962716168	1.091318019	0.184113488	0.923541531	0.933430399	1.062269914	0.090212724	0.900978235	1.052763452	0.77278071	0.138383181	1.014181219	1.079086967	0.992882487	0.105500484	1.02734082	1.04679599	1.245688323	0.040407475	1.313980225	1.174960672	1.1121666	0.046207062	1.098625013	0.875911357	1.176174747	1.309119595	1.11379247	0.994986501	1.206054617
Gm9774	1.92664471	2.65820348	0.97801716	1.02128634	2.294232319	1.047933248	0.913030504	0.893632488	2.342588152	1.083596235	0.970397405	1.119610796	1.997548498	0.906323571	1.209100765	1.260702711	3.038084244	1.003260328	1.046134845	1.186409441	2.630579992	1.093758856	1.191577552	1.070041844	2.377264755	0.931008538	0.969795865	0.946128956	1.0514419	1.10522818	0.988353833	1.211883811
Igkv1.88	0.417036623	0.448183075	0.902250158	0.375556112	0.927492808	0.762796337	2.563339364	0.40703433	0.540718326	0.891941558	0.965536431	0.711583085	0.757924034	0.924262445	0.767920705	0.526332175	0.473449974	0.459160364	0.431996185	0.381594162	0.459457984	0.753297789	0.422889191	0.390100948	1.940549338	1.79627008	2.678236702	1.49560538	1.798556071	2.342675305	1.352526725	1.117865906
Rab10	0.626276209	0.421328939	0.468721266	0.918183539	0.159487391	0.761863302	0.690092595	0.925386158	0.99151799	0.3801704	1.023632031	0.780015026	0.298879051	0.401335621	0.359264005	0.848120114	0.171199597	0.792117075	0.985510161	0.955874941	0.460965599	0.561410516	0.880694804	0.840665841	0.226327362	0.50837343	0.821366582	0.791332804	0.60037241	1.080893646	0.691492828	0.858089266
Suclg1	0.70775269	0.651043047	0.832739745	0.697948489	0.882653085	0.671500622	0.912736625	1.760952261	0.863950438	1.041523736	0.680822945	0.546977056	0.86005553	1.117630107	1.147457137	1.023318737	1.599237588	1.786940351	1.270944818	0.996031087	0.841302001	1.059124268	0.706292289	0.788209368	0.985659891	1.352183757	1.119179272	1.03026686	1.051484536	0.959543055	1.163423556	0.861483247
Acot13	1.1324455	0.677216284	1.299657547	0.859688291	1.04452505	0.938621628	1.476610477	1.880034379	0.753734302	1.467643488	1.581620653	1.138430905	1.534270167	0.962588693	0.766494525	0.674990213	0.534802283	0.582294294	0.485971264	0.47527136	0.570542494	0.682412928	0.627793376	0.525566286	1.135112705	1.535688211	1.568614215	0.707994201	0.759144549	0.64041537	0.782737813	0.894035962
C3	0.715128643	0.846504277	0.814335519	0.679089163	2.07322899	1.397254817	1.008482786	1.009706441	0.923066318	1.033310607	1.205580906	0.950798986	0.970604574	0.936499286	0.837119521	0.981434162	0.900272004	0.709958235	0.670153024	0.692061408	0.766756747	0.911865609	0.652038315	0.879340454	1.043658373	1.129506739	1.380115513	1.163033224	1.215674737	1.126200291	1.017604047	1.367989983
Fga	0.533383499	0.516282572	0.998509747	0.568209662	0.853638163	0.967984241	2.621881041	0.409004144	0.405782772	1.49579634	0.801734466	0.605029361	1.099633053	1.525493613	0.348997341	0.929726291	2.4980992	1.151041641	0.456095183	0.292866149	1.261711761	0.610946011	0.516935457	0.558952837	0.778630639	0.684995371	2.099619183	0.601148996	1.709335669	1.828898576	1.410423492	0.610769407
Serpina3k	0.942152884	0.708052617	1.127577811	0.692823985	0.6869366	0.659441374	1.194892584	0.979533572	0.369938015	1.006820415	0.567560125	0.546293888	1.241459384	1.394758901	0.774784028	0.909068518	1.22661426	1.073211996	0.959581656	0.984566515	1.513502924	1.171916408	1.276917517	1.287012572	0.938701506	0.682836881	1.020882722	0.682718707	1.60593841	1.277369109	1.703397963	1.454456948
Pxdn	1.125588254	0.870184118	1.004821455	1.046516561	0.937181234	0.846199449	1.357703419	1.492758061	1.051271117	0.931961358	0.890528862	1.08970533	1.20759619	1.196841941	0.768993994	1.243717757	0.875214841	1.062508674	1.23077152	1.241394896	1.122693418	1.196552629	1.390810854	1.176348097	0.897739471	0.797649005	0.974972872	1.183847343	1.271069096	0.885891322	1.213745668	0.876981339
Ptma	0.459784989	0.43693477	0.978298258	0.570177613	0.826413045	1.087326391	0.875352204	0.303943075	0.826041825	1.496824889	1.48938625	1.057521939	0.93506347	1.393579513	0.981837216	1.224676062	1.394023179	1.380552399	2.435503115	1.148268737	1.215171594	1.034076146	1.223875337	0.616721197	0.939704623	1.502611805	1.050957325	1.150999712	1.132794302	0.880123026	1.414460909	0.706803239
Fgg	0.521994117	0.527239232	1.05843407	0.582021481	0.847465126	1.009196816	2.51020323	0.405826856	0.403788491	1.426751808	0.792263202	0.607720988	1.160689956	1.532663902	0.35336245	1.023545319	2.623071541	1.18135011	0.466943923	0.2777259	1.277193691	0.623717106	0.506463973	0.546558066	0.725562678	0.686464151	2.085645927	0.602216462	1.678448663	1.849663375	1.452425591	0.611737065
Prdm2	0.802984331	1.171724066	1.113909089	1.043470149	0.755691551	0.799294551	0.845983053	1.552065709	0.877678209	0.981022898	0.932982012	0.90140596	0.773889195	0.922621987	0.989439923	1.554002813	0.947328082	0.928189047	1.380269262	0.838220598	0.876520261	1.057367301	1.710184011	1.229679623	0.705213601	0.981419859	0.933349004	1.021991277	1.066702966	1.037145387	0.857934268	1.074684968
Golga3	0.972240468	1.00232959	1.000916724	1.100767635	1.019860956	2.309398414	0.993778924	1.125460005	1.011137603	0.992199723	0.944124094	0.927382378	1.066074518	1.005053379	1.012775138	1.050164565	1.028309412	0.976632252	1.097471123	1.027914477	0.917110718	1.035721428	0.995023248	0.985384005	1.134813407	1.044437208	0.884728077	1.054604601	1.133579432	1.056981767	1.000848998	1.057159134
Srl	0.889182191	0.817700353	1.720654818	1.079657416	0.788011981	0.814923291	0.886640761	1.577254967	0.854915181	1.139497348	0.906346625	0.89614338	1.244198759	1.125933651	0.953948886	0.739795623	0.968928039	0.911092118	0.858532945	0.77482292	1.03964416	0.788909519	1.085625083	0.821519218	1.275747817	1.150845424	1.36296774	0.84222156	0.980273249	0.780216279	1.184870964	1.0201367
Nebl	0.891670279	0.928982793	0.884218374	1.456546918	0.976982346	0.936631814	0.952510253	1.980605932	1.059506037	0.900243084	0.948000296	0.732128329	1.021231895	0.955558722	0.982120222	1.305154855	1.415772226	1.341588332	1.599417439	1.271871184	1.240157142	1.369282514	1.38509802	1.524943433	1.154561842	1.121341852	0.899068062	1.524670512	1.048011651	1.09094	0.990445426	0.95521457
Mccc2	0.707105595	0.595897041	1.246771654	0.684181566	1.040744765	1.291973632	2.639737752	0.918369875	0.61624558	1.16324871	0.881063815	0.682132633	0.802038698	1.10794914	0.68761956	0.846521668	1.06624514	0.828982564	0.683711511	0.600455757	0.521549553	0.740398567	0.55465053	0.51537225	1.148516114	0.970686273	2.0512343	1.006313793	1.633175573	1.444204615	1.192166848	0.990539363
Vcp	0.962786836	1.086237727	1.122096786	1.027577139	1.165054654	1.458290384	0.994128989	0.694409258	1.010029442	1.282931984	1.180876583	1.157816227	1.069349046	1.228816944	1.238744462	1.061852932	0.959179767	0.892786217	0.946686412	0.855169237	1.088138841	0.784276394	1.016600702	0.865344616	1.104654855	0.964537506	0.980444233	0.79685036	0.744899028	0.829273868	0.809065227	0.7199236
Serpina1c	1.092214437	0.771712064	1.256316705	0.649706197	0.911898081	0.891850732	1.521879186	1.197967159	0.781581822	1.463867978	0.815094455	1.079156127	1.289896258	1.318946775	0.739770524	0.69712375	0.884802885	1.098753011	0.718167192	0.984478915	0.593642555	0.72187279	0.569589041	0.650495865	1.121916241	0.921432837	1.338971017	0.85339187	1.252730647	1.039947836	1.582326899	1.453013377
Fgb	0.539332616	0.542047951	0.963076983	0.534121294	0.889099797	1.000563655	2.400270309	0.432228685	0.467910722	1.436080106	0.814727064	0.64526064	1.158489359	1.55003633	0.360540399	1.079975578	2.568621976	1.169586267	0.502255539	0.306479177	1.29153225	0.640159619	0.534164226	0.566788817	0.77550949	0.69622226	2.05883011	0.632057742	1.727190888	1.86807727	1.377921269	0.631305425
