	F6_M_PWK	F6_F_PWK	F7_M_PWK	F10_F_PWK	F6_F_C57	F9_F_C57	F9_M_C57	F10_M_C57	F6_F_AJ	F7_M_AJ	F9_F_AJ	F9_M_AJ	F6_M_129	F7_M_129	F7_F_129	F10_F_129	F6_F_WSB	F9_M_WSB	F10_F_WSB	F10_M_WSB	F6_F_CAS	F7_M_CAS	F10_F_CAS	F10_M_CAS	F6_M_NZO	F7_F_NZO	F9_M_NZO	F10_F_NZO	F7_M_NOD	F7_F_NOD	F9_M_NOD	F9_F_NOD
Pum1	1.12150134	1.298539708	1.01132482	1.037348049	1.080319612	1.103662702	0.959296808	0.914730617	1.040943753	1.032998007	1.06294158	1.192552219	1.178752869	1.033053812	1.112143282	1.136930484	1.057746108	1.23791029	1.291937931	1.24820788	1.051479791	0.835113625	1.12028896	0.974630322	1.419794284	0.808135154	0.867983273	1.001130135	0.87711434	0.848352731	1.124053204	1.215710673
Csnk1e	0.984275825	1.032437131	0.948426987	1.057487998	0.853746007	0.975868229	1.009175877	1.158635393	0.916550519	0.90376316	0.991280558	0.975083711	0.864253168	0.899579603	0.889870771	0.865453032	0.891576174	1.042133923	0.91405655	0.797638449	1.054625576	1.114017601	1.346715674	0.941948241	1.043669391	0.873970208	0.918646865	1.035741735	0.796828109	0.893642491	0.8556989	0.937508087
Mrpl51	1.263083305	0.996186962	1.266082684	0.886117987	1.156679187	1.239745325	1.059660159	0.997269233	0.984655869	1.107134271	1.011058258	1.095470495	1.064599757	1.009039319	0.864320968	0.742442323	1.172815193	1.118413848	0.982267695	0.884620748	0.88606494	0.732966782	0.671099959	0.890641869	0.962728732	0.752546364	0.975877109	0.695640382	1.000429751	0.812519373	1.018058028	0.819071116
Mfn1	0.902431024	0.8651453	1.134658464	0.937346626	0.979057059	1.199280494	1.258182333	1.32211333	0.750886038	0.776363195	0.801525949	0.901336598	1.073938876	1.096238204	0.994200075	0.920554704	0.959559274	1.11357555	1.010560023	0.989447255	0.992605659	0.725287389	0.772264896	0.783965023	1.178192293	1.251805781	1.349275085	0.802070188	0.894123465	1.070584016	1.114963732	1.184385554
Phip	1.023912948	0.966290536	0.940569844	1.069739057	1.136795078	0.836426507	1.168884904	1.168421469	1.064022123	1.009318402	1.082772702	0.906876737	1.007038095	0.961908337	1.105579295	1.085355802	1.094334523	1.126289055	1.132005167	0.989328277	1.096222956	1.279037424	1.269908676	1.242483349	0.769793276	1.063650944	0.819794625	1.075507935	0.992713353	1.065694733	0.91593079	0.801099101
Rab1a	0.981590684	0.787060729	1.077246107	0.897553486	0.912586685	1.243200365	1.418767995	1.13303963	0.871223862	1.08428148	0.917967729	1.156569405	1.36475925	1.110344368	0.86056671	0.926525061	0.942372412	1.072486349	0.958516799	0.857816375	0.808863658	0.709390953	0.889288228	0.83975031	1.665660205	0.722472647	1.854606532	0.803400669	0.853029739	1.058258417	1.158611855	1.115548899
Wipf3	1.119283228	1.018402871	0.796297989	1.092669753	1.05035202	1.014855517	0.829350619	0.945584626	1.154538343	1.164473144	1.239097678	0.935830694	1.03241373	1.053894353	1.053250192	1.139885368	1.242997721	1.338109239	1.041624437	1.458383893	0.921995499	1.137582705	0.958339422	0.938261973	0.864045036	0.957090264	0.806051567	0.99126571	1.087436033	1.268881318	0.889276758	1.248511675
Eif3d	1.001790398	0.993633122	0.931125872	0.838711186	1.03834572	1.144167951	1.005047401	0.871173739	0.983572856	0.923113072	0.93704908	1.003168321	1.077160289	1.059039354	1.007447731	0.972209502	1.040990459	0.916612769	0.92164039	0.775508607	1.174633672	0.855567481	0.874840183	0.958372978	0.94293938	0.956142936	0.891924308	0.734514865	0.868439133	0.889333452	0.917032762	1.052128966
Slc27a1	1.150200897	0.993657617	1.145008395	1.038202027	0.934634489	0.937337686	1.077977976	1.135240914	1.001665733	1.05696731	0.953372265	1.081589659	1.082631761	1.047432734	1.158297803	1.08225312	1.119247585	1.039628331	1.180587866	1.178829633	1.152380691	1.042605668	1.015908636	1.062295574	0.837728169	1.054482999	0.883537375	1.009615305	0.937768842	0.954549187	1.103911289	0.952373505
Egln1	0.961706585	1.062333374	0.918545437	0.861418421	1.117702462	1.352913201	1.020575108	1.105346895	1.107018871	0.944686352	0.890082278	0.87729416	1.331774599	1.017000898	1.030375561	1.060323195	1.137508774	1.271491731	1.173234602	1.354805902	1.127812111	1.213565002	1.107829167	1.132540306	1.088468236	1.242050421	0.912187891	1.19125307	1.06206022	1.05383773	1.060243017	1.136537429
Rbm5	0.764077038	0.830171981	0.979666289	1.042479339	0.896276563	0.844454711	0.88425673	1.172083885	0.984724632	1.089026456	0.951626736	0.592623287	0.816645954	0.986593955	0.989259421	1.136013121	1.0222497	0.865611359	1.093857494	1.099868019	0.863273078	1.054358297	1.129833126	1.214189084	0.869316294	1.041341395	0.813597165	1.192810343	1.041274625	0.98102554	0.757554984	0.876558159
Vps28	1.066740875	1.084557756	1.078971655	1.023351462	1.012756607	1.074631787	0.958555423	0.839431672	1.098007704	1.07962582	1.024970482	1.045155123	0.994375872	1.097356951	1.089013038	1.014398965	1.12194764	1.168126985	1.107740643	1.055552638	0.931762179	1.00539125	0.860492909	0.786405359	1.001250036	0.998005417	1.00041759	0.905881855	1.062094825	1.063557027	1.027627278	1.058501315
Tinagl1	0.912016816	0.841956194	0.889545858	0.882354812	1.010409112	0.918303422	1.110240679	1.164317698	0.877454089	0.969388961	0.900057305	1.089369194	1.016676423	1.100228807	1.049290374	1.08124126	0.936092316	1.012198658	1.072584928	0.992460044	1.133882422	1.220264422	1.098788416	1.104644127	1.026506823	0.956429684	0.954672624	1.050398511	1.005861543	0.961514358	1.055212733	0.976424332
Cox6c	1.117040307	1.070088612	1.207780734	1.130530554	1.108321435	1.310934579	1.152046404	0.935538114	0.798399051	1.334164169	1.126095012	1.212248047	1.153391899	1.269686911	1.101559761	0.740570379	0.740361092	0.845703855	0.833159183	0.699290908	0.746417246	0.538351238	0.636998267	0.689303383	1.213847353	0.8871128	1.039316208	0.590100777	0.697366837	0.962878108	1.069908529	1.002613573
Psmc6	0.89534743	0.871925251	0.810065336	1.037931982	1.154442937	1.084261709	1.022348861	0.909630606	1.23542245	1.552811566	0.978996655	1.217457515	0.846427893	0.873173532	0.939777726	1.078944958	0.827469526	1.093081629	1.116913862	1.150467526	0.895166604	0.952667367	1.142985682	1.070573243	0.926902899	0.851063461	0.986303919	0.912305448	1.475786385	1.450119275	1.076917022	1.147371688
Txnrd2	0.558729971	0.813488861	1.060426105	0.769579682	0.940491199	0.953821592	1.298199621	0.935355749	0.578252292	1.076001475	1.03105481	0.937024874	0.900391696	1.026187103	0.9407815	0.895618868	0.760906812	0.899614837	0.87197196	0.869977561	0.598123515	0.891858312	0.902511771	0.747106386	1.180594759	1.426474204	1.370082151	1.090542269	0.946972883	0.901039081	0.965293153	0.94547546
Atp5l	0.906361398	0.933157484	1.793709142	1.017738426	0.854489087	1.062906109	1.498951867	0.761749251	0.590050957	0.939793072	0.829781603	1.156102778	1.390274694	1.204855826	0.820273671	0.602191865	0.678813915	0.941920451	0.85636795	0.575232004	0.788188762	0.585752722	0.722594063	0.708211637	1.855601533	0.835913226	1.906032775	0.471243753	0.673451506	0.971815331	1.133121913	1.042076547
Ccdc51	1.138180112	1.158291092	1.266417102	1.221407938	1.034941642	1.256710525	1.089055829	0.889257877	0.957369824	1.031064764	0.929630267	1.083813759	1.145456208	1.072693889	1.022271842	0.87579341	1.007922264	0.962171258	0.894370303	0.910326897	0.977171632	0.815827643	0.893235747	0.870173739	1.196444778	1.134841641	1.133931247	0.789194037	0.954061169	1.040516212	0.9521016	1.051056182
Vdac1	1.04939036	1.046193542	1.06924092	1.08269543	1.017329856	1.23782123	1.10925675	0.837577316	0.887674011	1.268891587	1.180357159	1.361323263	1.216330599	1.230303142	1.084125051	0.769826894	0.883830665	1.021652573	0.951512491	0.894013498	0.810502259	0.580343237	0.697859536	0.745605609	1.211016438	0.889503409	1.046318024	0.703404298	0.61520535	0.996933481	1.154373672	1.091378499
Nemf	0.821745351	0.903321959	1.051077554	0.963175386	0.694780695	0.8682601	0.870669539	0.971744342	0.752644067	0.969858285	0.917144613	0.997972269	0.835823425	0.994217013	0.986080319	0.858344205	0.688391976	0.850729222	0.91379717	0.900801222	0.832980279	0.970266836	0.880366245	0.828682477	0.873389212	1.066210318	0.868030842	0.998938739	1.092824352	1.027206963	0.963418986	0.993225638
Lias	0.917554171	0.924852949	0.776761136	0.773658831	1.031677973	1.356269113	1.078150242	0.984671811	0.950536284	0.820506457	1.034258501	0.982695786	0.968782845	1.183069949	1.132917099	1.192386084	0.937549297	1.0399754	1.052972729	1.042933159	0.92888252	1.14340393	1.001403552	1.081261108	0.996032903	1.245120549	1.152635676	1.145312529	1.064095809	0.937880203	1.177328694	1.14950495
Brd4	0.895456565	1.063532225	1.004101633	1.04295977	0.788662807	0.984856225	1.045875951	1.043074606	0.951577927	1.007955574	1.117598039	0.908229989	0.751649802	1.009357921	1.057442149	1.120555812	1.01502217	1.044635693	1.108997155	1.080638669	0.897631532	1.201928478	1.210132636	1.100080254	0.931803922	1.158873494	0.958880741	1.232445837	1.077853461	1.060048569	0.991598755	0.956578175
Atp5f1b	0.952101057	0.916415624	1.77527462	1.006669092	0.890574869	1.036888313	1.512013209	0.758206056	0.628308587	0.921859351	0.785057183	1.183113302	1.452782453	1.230179455	0.85034794	0.619222569	0.673641467	0.875085772	0.803000077	0.568862477	0.771733959	0.561259851	0.687576163	0.691001077	1.989558475	0.803366173	1.872364586	0.495333644	0.655894037	0.966739441	1.066412523	1.118339525
Ap1m1	0.99855358	1.04834385	1.28415481	1.070209231	0.92572215	1.176656662	0.898053615	0.918561542	1.084940292	1.069496014	0.973927629	0.915840828	1.083444872	1.062071675	1.016602405	1.074294334	0.984974344	0.818206403	1.174392402	0.933216332	1.071393137	1.011456206	1.229506229	1.217564553	1.011801354	0.88143733	0.929809562	0.877732688	1.268483091	1.151743148	1.082951072	1.146376385
Slc25a35	1.281972152	1.182441682	1.2944386	1.353979065	1.165115164	1.042572892	0.9809967	0.926747302	1.008194961	0.796276812	0.975535175	1.01409315	0.970802685	0.818941248	0.78415724	0.746009835	0.961491907	0.935953077	0.883914869	0.796136928	0.952562104	0.979703359	0.591168921	0.566734701	1.275704093	1.196311065	1.402886198	1.25811929	0.995205371	0.8006703	1.083536081	0.934270948
Mrps5	1.011385614	0.879512007	1.355404824	0.927180152	1.125747146	1.243679594	1.035088319	1.01292315	0.792014513	0.989772878	0.796889377	0.824128656	0.997727194	1.123538661	0.985483955	0.842125378	0.880839945	0.916925171	0.91582179	0.767706478	1.220705623	1.007479695	0.943157692	1.015997278	1.040934837	0.974453009	1.158277359	1.060450583	1.169654633	1.042186401	1.098218596	1.012955083
Smarca2	1.136002304	1.110521258	0.837185549	0.91032804	1.141211039	1.237420998	0.994578683	1.06157477	0.988967129	0.850029374	0.936492639	2.186528137	0.907812963	1.007610688	0.899327022	1.049550625	1.057150319	1.039412578	1.167794146	1.183125938	1.058669157	1.000096102	1.015700738	1.009966012	0.946803164	1.30811526	0.978894678	1.009457202	0.979767824	0.918093288	0.975949539	1.092325511
Srek1	1.060476615	1.182879083	0.939156565	0.838183503	0.954835544	1.105341655	1.086650914	1.338874938	0.901304957	0.759313378	1.090980939	0.931667536	0.843856067	0.913129263	1.132184712	1.342931491	0.9266966	1.152382697	1.233532362	1.256271557	0.922757575	1.007314148	1.417901913	1.425319106	0.999075619	0.989060935	0.811190329	0.788008522	0.837867189	0.902412978	0.984802603	1.029877906
Igf2r	1.088078753	1.113777234	0.999507977	0.974337411	1.050310425	0.892918661	0.925678036	1.362073749	0.998321421	0.991949179	0.915015865	1.023139627	1.054690535	1.005627605	1.095388304	1.187829312	1.017434795	0.832411966	0.919507811	0.713189937	1.01029143	0.955797677	0.916551464	0.959819831	0.952628018	0.827646758	0.919896189	0.79545541	0.927526124	0.924441033	0.823814105	0.903982703
Usp9x	1.073451982	1.270058601	1.096674686	1.116097631	1.239043493	1.092055341	0.971498859	1.044159259	1.116726746	0.925487983	1.025708498	1.076162793	1.069141539	0.941248555	1.006166326	1.179733751	1.159874122	1.021459382	1.084181929	1.097422522	1.270398604	1.039694936	1.112064196	1.117047064	1.017800663	0.965388894	0.987258467	1.044102206	1.038148303	1.028376995	1.062446402	1.124166719
Slc20a2	1.040249179	1.054212245	0.975562385	0.87368314	1.115229035	1.058126028	1.150604869	1.407577326	1.161069444	1.121788651	1.179490656	1.157082014	1.297278435	1.011728267	1.213214449	1.006751977	1.006127295	0.958086823	0.975863867	1.107391276	0.957521432	0.834670071	0.837168337	0.902308444	1.127966238	1.047468145	1.108219207	1.154513699	0.961918723	0.995236562	1.050915609	0.982460443
Wdr36	1.183345329	1.288392769	1.085413175	1.030504787	1.121605355	0.888047986	0.720550519	1.020293895	1.182282162	1.018798121	1.065869657	0.992225542	0.942358772	0.969145356	0.828337462	0.952175968	1.151410452	0.876616575	0.901643321	0.976448407	0.99217373	1.44793116	1.146118245	1.132639312	1.001332874	1.1275939	1.055725542	1.103783064	1.117985569	0.931199293	0.677986474	0.822951494
Bdh1	0.481478229	0.412075951	0.513427613	0.438182848	0.825387042	0.845227182	0.996384472	0.451369343	1.078186554	1.310026758	1.072788523	1.092912723	0.617172746	0.720154986	0.401209632	0.432054117	0.581504604	0.555087514	0.589708618	0.738970115	0.305150231	0.651623879	0.293217932	0.440185003	2.509065147	2.167484731	2.572294321	1.582764696	1.707210851	1.526061624	1.466232446	1.691715505
Cep170	0.978056523	1.01710068	1.000893684	0.992321016	1.119022432	1.182596689	1.052789136	0.942785433	0.996157062	1.065013213	1.188168119	3.02177207	0.976322879	0.985567363	1.017901212	0.961118901	1.107154963	1.08155335	0.97016416	0.932335316	0.96555365	1.070971974	0.93177576	0.920118748	1.037581006	1.085795438	1.27823113	0.926035835	1.105209291	1.000975581	1.234918257	1.111696351
Coq5	1.115025933	1.516413517	1.104600153	0.949831866	1.312418599	1.166829981	1.181076256	0.968554486	1.505433291	1.285434557	1.098821146	1.366106937	2.486395619	1.026226649	0.978075388	0.891930471	1.49906379	1.158468441	0.972429223	1.020730512	1.827311088	0.978639028	0.966959467	1.000039511	1.342845662	1.306030018	1.25904238	0.973292736	1.048176473	1.059007246	1.127482926	1.052800632
NA.	1.233415384	0.822451067	0.929443896	1.059715273	1.251782267	0.94824762	0.971427446	0.937964544	1.141236254	0.851025225	0.962600488	0.984371065	0.884749387	1.018280301	1.053193122	1.022645472	1.300660495	1.049787641	1.038402189	0.941547941	1.251919237	1.252158863	1.202013376	1.193845135	1.331045069	1.04959576	1.101329926	1.024004959	1.2304405	1.199298934	1.026122739	1.064829689
Cnn1	0.927120675	0.858871253	0.728109746	0.749532379	1.069181927	0.88541759	0.955145554	0.741528557	0.940495959	1.119362041	0.699842134	0.77160688	1.075682265	1.046582155	1.053090139	0.953439768	0.931492766	1.180330961	1.652990087	1.067494019	1.307262273	0.933825653	1.4752777	1.12885269	1.012405662	1.072090183	1.04931693	0.936754687	1.091731647	0.9507244	1.12527739	1.099844165
Mpp7	1.036538256	1.153216095	1.018621026	1.109492027	0.945899972	1.109890386	0.863759801	0.921074431	0.839736734	0.800526439	0.82882438	0.836343415	0.930633475	1.040811198	0.975352573	1.170765878	1.132486032	1.086454061	1.180100967	1.215673295	1.249674421	1.210651076	1.304890867	1.203253316	0.813096382	0.908962132	0.793920007	0.907318532	1.230689205	1.231502792	1.186172118	1.2517633
Hectd4	1.002843149	1.013684782	1.096631615	0.94152171	0.942940635	0.890283444	1.086784383	1.062163553	0.894713907	0.964202938	0.952243862	0.959147805	1.016484577	1.0136966	0.989745212	1.074143828	0.95813018	1.03601249	0.992396599	1.03008933	0.980483542	1.076637745	1.00581826	1.100375971	0.953000377	1.05773599	0.978267592	1.017418416	1.046556183	1.043142365	0.963458918	1.051075388
Ankle2	1.16552699	1.024288588	1.003541459	1.121638909	1.094210522	1.034654665	1.180284018	1.314868472	1.18212574	1.104503989	0.912249078	0.976291993	1.001401891	1.003531024	1.116883847	1.008629936	1.026235353	1.015124841	1.023116572	0.991714124	1.077616556	1.015679652	1.079006676	1.057621272	1.008330438	0.940794762	1.186814275	1.033040353	1.080558892	1.071322019	1.113355016	1.156017187
Slc25a51	0.978173137	0.981411452	1.102803165	1.116966126	0.932692932	1.080829511	0.989749372	1.370117708	0.78158265	0.973317262	0.78058813	1.038313832	1.00493543	1.111106049	1.083988978	1.096454884	0.937279977	1.058656212	1.07335898	1.006605242	0.895061252	0.861502415	0.919994389	0.960675488	1.019130174	1.016939388	1.130139754	1.079488159	1.076006852	0.974594792	1.142733985	0.972595102
Fam210a	0.847289815	0.886609657	1.078874286	0.886432586	1.092737514	1.287779178	1.1248304	0.943801929	0.757507163	0.880830439	0.787624301	0.813918477	0.911953033	1.027034211	0.966102514	0.948974399	0.9627488	0.892923503	0.966367893	0.948814466	0.871193022	0.965001269	0.90204727	0.919202232	1.308279951	1.297792076	1.272671253	1.054296729	1.15191927	0.980386112	1.036135839	0.945727453
Micu1	1.350791168	1.248396115	1.377157044	1.315277157	0.80213641	0.903263737	0.996346169	1.001421838	0.951749814	0.84672075	0.98327251	1.032357972	0.981437074	0.936334473	0.869038697	0.897593459	0.83716555	0.905285439	0.975419541	0.920341145	0.932237961	0.795081185	0.965752322	0.940039905	0.816968461	0.704356207	1.158332005	0.960871626	0.838984026	0.762427151	1.047390537	1.050450326
Kpna1	1.11455989	1.013274585	1.005862034	0.937413113	1.187145648	1.06799188	0.908218673	1.052706614	1.191151428	1.077807027	1.00018334	0.906322154	0.881527717	1.048801949	0.989051168	1.185878819	1.421107263	1.192289881	1.125215502	0.924389597	0.98319455	0.959922339	1.04929565	1.039909095	1.251373048	1.127799163	1.324691381	1.201305125	1.006981071	0.93698537	0.978995537	0.918062728
Cox6b1	1.174730242	1.072586651	1.179600057	1.106394818	1.120478562	1.251466507	1.12644889	0.936934536	0.856974348	1.312112268	1.005983682	1.24519706	1.127884219	1.277134911	1.079947206	0.790286357	0.741551587	0.81437945	0.825075379	0.770371022	0.820154557	0.57913873	0.662666456	0.72757886	1.257682998	0.943771462	1.060919031	0.676460089	0.737784187	0.969718485	1.045893046	1.048303092
Atp5f1d	0.761805042	0.758327477	1.393819887	0.654898952	0.94576392	1.038589751	1.463042308	0.859851695	0.647144025	1.059460386	0.829406089	1.116981415	1.665731831	1.354610842	0.915761169	0.682683088	0.678658207	0.855181124	0.91984511	0.628246263	0.619003386	0.444794859	0.472867501	0.467399225	2.317833881	0.863037607	1.740555092	0.490401837	0.673583647	1.044243836	1.083883156	1.150944619
Gata4	0.940036759	1.009579473	0.800991941	1.116683082	0.957580906	0.917776038	1.090837199	1.104093524	1.025404551	0.845920043	1.069767419	0.993398127	1.052837753	0.675061411	0.785605879	0.838785838	1.093432657	1.005022011	1.050703404	1.145642368	0.922238989	1.069158616	1.133111109	1.067204232	0.981601124	0.979120624	0.972211153	1.155656264	0.816978082	0.874209971	0.852594941	0.930497686
Ppp1r10	0.703136475	0.961690363	0.974388453	1.021878734	0.860523219	1.379313996	0.948020538	1.001784862	0.995564101	0.834595138	0.985044128	1.020448751	0.684110255	0.941711414	0.979729021	0.955436698	0.748967429	0.883838713	0.94692336	1.007323376	1.015221394	1.150688764	1.163860841	1.12017913	1.069939512	1.245301983	1.092268132	1.204447059	1.049223262	0.985353714	0.927548547	1.119976925
Prdx3	0.965647349	0.832340345	1.128156148	1.111247488	0.913026281	1.023684833	0.935127583	1.33106826	0.957707733	1.150645038	0.919615786	0.931425874	0.963827349	1.083306309	1.054571508	1.308487943	1.077091084	1.11574553	1.151450869	1.154350072	0.925162716	0.916242123	1.298296697	1.225205231	0.982531869	0.871300538	0.901040651	1.136479713	1.165810612	0.987432878	1.118421072	1.076877386
Pdlim1	1.084541104	1.053663505	1.041261651	1.044701777	0.980189546	0.832004185	1.124137992	0.996204547	0.881695042	0.978258939	0.802857114	1.050526299	1.077812968	1.020156267	0.917063233	0.925494574	0.800408265	0.80273652	0.852489625	1.040820047	0.969990686	1.051019624	1.26781865	1.118087439	1.294765156	0.990051581	1.306513275	0.907380161	1.00016297	0.864787549	0.821886554	1.210628907
Wipf1	1.262750062	0.916747217	0.763909176	0.83396412	1.05649125	1.02479675	1.070016243	0.742219166	1.103962265	0.953184948	0.982301667	0.831115154	0.890513227	1.104968851	0.925294504	0.831187227	1.413603388	0.869101423	0.853026464	0.775283496	1.059818634	0.978804515	0.908778729	0.926845068	1.026571285	0.984009103	1.0815097	1.380218968	1.295838194	1.318672446	1.025360172	1.045899648
Myh11	0.979950483	0.858451515	0.870458492	0.78408324	1.072306292	1.063760799	0.937107295	0.9233822	1.061676982	1.04292322	0.779371356	0.853394138	0.981226554	1.063200613	1.071789778	1.167656896	1.22730767	1.406187789	1.545696051	1.182493827	1.233108497	0.97685294	1.324458981	1.139800944	0.840763291	0.918108349	0.879317039	1.06525683	1.059270039	0.955457352	1.129381027	1.144296728
Dcakd	0.979048222	0.94588077	0.982349067	1.016994106	0.997370168	1.040051157	0.922701175	1.459764778	0.994433157	1.113777342	0.919710575	1.050676972	0.975794489	1.05823807	1.0729099	1.522947848	1.061475018	1.077006369	1.398290235	1.165660056	1.046164806	1.012290814	1.111336098	1.226978042	1.100307572	1.052416547	1.074702037	1.045608595	0.947664237	0.981448541	0.927159293	0.916308466
Cma1	0.267697157	0.360137371	0.265364731	0.216005887	1.487685266	1.356637729	1.518863776	1.806291291	1.395666154	1.367757279	2.275743759	1.745805863	1.461374784	0.887940384	1.154316823	1.334507253	0.195919966	0.561046017	0.228523394	0.274683133	0.449515337	0.478035006	0.464402438	0.520098316	1.212662816	1.571603578	1.407539103	1.471091041	0.425702195	0.610851293	0.638110049	0.680350038
Mrps30	1.140858305	1.403421739	1.211787279	0.933864602	1.454066613	1.179540978	1.168959578	1.127141971	1.317479358	1.142401552	1.084939086	1.138357382	1.061671079	1.030675314	1.03556813	0.927617523	1.342408716	1.214796128	1.162079087	1.065976058	1.185993032	0.949675282	0.877957931	0.912671772	1.110962104	0.931746827	1.086667867	0.925125896	1.045542839	1.038590371	1.186973165	0.990262786
Pacsin2	0.972024517	1.024510177	1.369101894	0.945278868	1.042858626	0.933055042	1.260715033	1.047930811	0.875583454	1.108178291	0.938623314	1.200948083	1.056632663	1.003111493	0.781754689	0.843778386	0.972764719	0.876394657	0.918484312	0.928859344	0.926295335	1.011814645	0.896661894	0.925473217	1.262196603	1.269607265	1.492909828	0.989865085	1.087594749	0.908097217	0.932615695	0.910751504
RtcA	1.420736	1.245729786	0.916576847	1.068744076	1.180041422	1.040371165	1.030536317	0.906111088	1.021617961	1.044443644	1.078996406	1.148209735	1.21565746	0.825647466	1.033224117	0.946335294	1.122633353	1.041916482	1.128813885	1.172335112	1.40661379	0.818364452	1.020141271	1.029912022	1.031131669	0.847505021	1.013452086	0.971110024	1.221712715	1.079372757	1.203015527	1.123854005
Ndufa2	1.159213457	1.059156	1.28657843	1.105153065	1.080340601	1.299822954	1.193211708	0.88339199	0.748282604	1.158028652	0.941007221	1.231975514	1.125740689	1.205847722	1.015909485	0.682559595	0.792735642	0.967619839	0.908180362	0.760354743	0.822727909	0.59711571	0.678358675	0.743354225	1.21696221	0.888170548	1.088936481	0.555590604	0.681994844	0.985872792	1.093167562	1.096971417
Prdx1	1.330862401	1.289675246	1.479487827	1.281348371	0.946111412	0.995251646	0.939218268	0.755321251	0.810870079	0.833588936	0.951245634	0.714139104	0.892002046	0.857413091	0.762254819	0.870464824	0.850622909	0.837882668	0.831689189	0.867043622	1.314048619	1.366452734	1.398619013	1.359454669	0.715832768	1.600666008	0.45335458	0.983593716	0.829476636	0.762615198	0.776436119	0.768396932
Myl6b	2.568935807	2.581701098	1.048170909	1.032063075	0.72001502	0.882476329	0.903543226	0.966946366	0.846373875	1.075187626	0.972281964	1.052533352	0.809828069	0.989726235	1.088076273	1.170392987	0.728882706	0.906139567	1.010630127	1.080982641	0.60792112	0.96499984	1.049028495	0.932391903	0.793958613	1.080509781	1.063755794	1.305857631	1.057619381	1.121202119	1.02384811	1.128973631
Erlin1	0.968192996	0.955002344	1.144492177	0.985928962	0.977096651	0.82303807	1.162076637	0.938926899	1.12347983	1.260463911	1.1442639	1.077601323	0.84649195	0.984044263	0.913005083	0.88646201	0.769687231	0.879881488	0.872594086	0.945285331	0.771292782	0.939237713	0.833114754	1.013919608	1.744895876	1.424840366	1.623766989	1.294193775	1.01988935	1.12553474	0.977041807	1.121179882
Ssbp1	1.125962275	1.106254782	1.174397064	1.093404139	1.088617648	1.128174542	1.035764996	0.899684519	0.942495957	1.030085849	0.990515247	1.023235582	0.953047331	0.97590257	0.983877961	0.920115914	0.967902342	0.947818946	0.989417634	0.939368873	0.790415341	0.811422815	0.798859586	0.816387359	1.069108513	1.032395005	0.993175191	1.116315219	1.063106946	0.915651695	1.008011398	1.076421473
Myh13	0.869969645	0.978799801	0.879809001	1.085421471	0.816554301	0.840235546	0.89912617	1.034425156	0.968479659	0.910429028	0.980130938	1.008862858	0.951451347	0.950264265	0.915069056	1.206660196	0.857171951	0.883138291	1.039240865	1.153746722	0.922774612	0.959811877	1.179261895	1.267403249	0.770516705	0.960110551	0.984364234	1.221963169	1.025894383	1.102733544	1.034883425	1.077573543
Aldoa	1.057750215	1.081786668	1.088439568	1.213357589	0.996490283	0.813578748	0.96277941	0.618155918	1.146396502	1.234118821	1.358156129	1.229129968	1.034045069	0.891549741	0.851277882	0.825978897	0.964495566	0.988771839	1.010991411	1.242221728	0.923641749	1.009425579	0.986685598	0.82581009	0.863636837	1.18479898	0.991122839	0.824465186	0.944226236	1.087621418	1.043157898	1.1059056
Mapkapk2	1.171370329	1.152550474	0.878180575	0.859928122	1.028665846	1.123277046	1.053073573	0.827050498	1.122850212	1.029361999	1.00337955	1.763591644	1.138390102	1.025816399	0.957827042	1.071051252	0.973846019	1.060741453	0.995715561	1.121564218	0.896497693	1.112625373	1.004219621	1.019068734	1.076702903	1.216068385	1.150622576	1.04410753	1.084452103	1.06783412	1.047900753	1.155591087
Cox4i1	1.137786122	1.051840843	1.151156351	1.068127701	1.102466909	1.328322434	1.17077429	0.95298565	0.814928839	1.289721733	1.073027365	1.414229082	1.134874609	1.233039316	1.029905742	0.758086113	0.694799283	0.875014146	0.823842185	0.711233978	0.764799602	0.527662823	0.61943018	0.691933608	1.23550447	0.916507888	1.078071784	0.629211793	0.680922635	0.956666952	1.083793533	1.071114287
Nfia	0.915311879	0.971243931	0.933325982	0.990627002	0.983475201	0.87650878	1.162043836	1.007105037	0.961320397	0.93017454	1.023148676	1.112022929	0.946859444	0.940191422	1.207442232	1.093273076	1.018848599	0.729953063	1.014949752	1.124277208	0.901804022	1.030519128	1.006708571	0.98226039	0.895002144	1.198250075	1.095942465	1.289055783	1.021280266	1.057513313	0.995749367	1.102156466
Col8a1	0.743987217	0.702680226	0.675754309	0.614383733	1.097176421	1.005219283	0.98801701	1.462970789	1.082792745	1.190175441	1.173778211	1.214790924	1.268337154	1.29500025	0.951976885	1.088866822	0.915875789	0.93866448	1.027661737	0.827900915	0.80983067	0.771538093	0.62307768	0.786522531	1.232762233	1.134465088	1.748979102	1.406039079	1.238072903	1.117731537	1.30618748	1.097245235
Ank1	0.86674431	0.98273005	1.341973544	0.850528222	0.954391221	0.899239054	1.285707613	0.875211308	0.830277391	0.913294098	0.949972369	0.914755273	0.902370229	1.273678399	0.78959269	0.995345367	1.174921165	0.983013607	0.92202954	1.029137612	0.977545344	1.073974896	1.064149155	1.14753879	0.970225557	0.828349602	1.363295445	0.899412776	1.818887624	1.239652623	1.095438411	1.196439308
