PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Nfia	-0.09	0.22	0.04	-0.29	-0.13	0.08	-0.32	-0.1
Col8a1	0.11	0.22	0.09	0.33	-0.14	0.12	0.23	0.2
Ank1	0.27	0.22	0.04	0.29	-0.06	0.12	0.43	0.26
Nedd4	0.32	-0.19	0.06	0.06	-0.1	0.38	-0.4	-0.11
Psma2	-0.05	-0.19	0.01	0.07	0.01	-0.1	0.11	-0.1
Etfa	0.18	0.22	0.02	0.23	-0.07	-0.19	-0.04	0.23
Cpa3	-0.12	0.22	-0.2	-0.04	0.15	0.04	-0.17	-0.25
Golga2	-0.06	0.22	-0.02	0	-0.27	0.18	0.28	-0.02
Picalm	0.02	-0.19	-0.04	0	0.03	-0.12	-0.03	-0.12
Sec24c	0.01	-0.19	0.3	-0.14	-0.25	-0.16	0.07	0.01
Ecpas	0.07	-0.19	-0.01	0.12	-0.08	-0.14	-0.09	0.05
Sgcd	0	0.22	0.01	-0.17	0.06	0.01	0.04	-0.01
Myh15	0.22	-0.19	-0.33	0.31	-0.22	-0.14	-0.41	-0.04
Atp5f1a	0.51	0.22	0.55	0.86	-0.02	-0.22	1.43	-0.21
Atp5f1	0.49	0.22	0.54	0.85	-0.03	-0.26	1.3	-0.19
Letm1	0.07	0.22	0.08	-0.14	0.05	0	0.07	-0.04
Mtnd3	0.17	-0.19	0.48	0.61	0.05	-0.4	0.43	-0.27
Tmem126a	0.02	-0.19	0.07	0.17	0	0.05	0.27	0.06
Grsf1	0.11	-0.19	0.15	0.05	-0.06	-0.06	-0.04	-0.04
Cebpzos	0.03	-0.19	-0.13	-0.03	-0.1	0.27	-0.15	0.07
Obsl1	0.15	-0.19	-0.14	-0.29	-0.07	-0.13	-0.44	0.11
Cd151	-0.05	0.21	-0.02	0.05	0.06	0.24	0.74	0.15
Myh10	0.04	-0.19	-0.2	-0.06	-0.13	-0.18	-0.11	-0.04
Jph1	-0.06	0.21	0.13	-0.16	0.08	-0.03	-0.2	0.09
Dnajc7	0.24	0.21	0.1	-0.12	-0.02	0.09	0.37	0.11
Rasal2	-0.34	0.21	-0.04	-0.19	0.04	0.04	-0.31	0.11
Nes	0.09	-0.18	-0.13	0.09	-0.09	-0.31	0.14	0.03
Wtap	0.07	-0.18	-0.3	-0.03	-0.17	0.17	-0.12	0.1
Asb2	-0.28	0.21	0.02	-0.28	0	0.19	0.05	0.03
Rer1	-0.15	-0.18	1.33	0.17	0.14	-0.03	-0.17	0.02
Psmd1	-0.14	-0.18	-0.01	-0.07	0	-0.09	0.07	-0.17
Smyd1	-0.08	0.21	0.06	-0.01	0.18	0.04	-0.06	-0.01
Gk	-0.05	-0.18	0.28	0.33	-0.15	-0.14	0.07	-0.22
Tmem65	0.54	0.21	0.32	0.48	0.02	-0.2	0.8	-0.19
Ints2	-0.16	0.21	-0.03	-0.21	-0.07	0.14	-0.27	-0.14
Gm10273	-0.05	-0.18	0.18	0.07	0.05	0.02	0.18	0
Uqcrh	0.17	-0.18	0.34	0.52	-0.08	-0.15	0.73	-0.15
Psmb7	-0.16	0.21	0.02	-0.09	0.21	0.29	-0.22	-0.01
Atp5c1	0.5	0.21	0.5	0.85	-0.05	-0.25	1.39	-0.2
Ndufa11	-0.12	-0.18	0.25	0.34	-0.04	-0.08	0.37	-0.15
Mar2	-0.1	-0.18	-0.01	-0.1	-0.08	0.08	-0.01	0.02
Rbpms	-0.15	-0.18	0.04	-0.14	0.1	0.01	-0.04	-0.07
Cul4a	-0.11	0.21	0.1	0.08	-0.06	0.12	-0.03	-0.1
Slc4a1	0.64	0.21	0.62	0.69	-0.6	0.02	1.11	0.59
Eno1	0.03	0.21	0.23	-0.07	0.17	0.26	-0.19	-0.18
Dag1	0	0.21	-0.05	-0.11	0.06	-0.02	0.15	-0.05
Cdv3	-0.12	-0.18	0	0.23	-0.07	-0.34	-0.09	-0.09
Ppih	-0.01	-0.18	-0.12	0	0.03	0.15	-0.17	0.05
Rcc2	-0.16	-0.18	-0.36	0.01	-0.27	-0.18	-0.13	0.13
Mrpl40	0.25	-0.18	0.13	0.19	-0.01	-0.03	0.37	0.17
Ank1.1	-0.08	0.21	-0.16	-0.22	0.24	0.27	0.06	-0.02
Txlnb	0	-0.18	-0.06	-0.26	0.08	-0.02	-0.25	-0.05
Csrp2	0.03	-0.18	0.01	-0.06	0.09	-0.08	-0.23	0.01
Sod2	0.15	0.21	-0.02	0.3	-0.28	-0.22	-0.05	0.48
Syncrip	-0.06	-0.18	-0.02	-0.18	0.03	-0.15	-0.24	0
Cbr4	0.14	0.21	0.12	0.21	0.16	0.28	-0.16	0.06
Myh7	-1.12	-0.18	-0.37	0.17	-0.06	1.32	0.84	-0.07
Ndufa10	0.06	-0.18	0.47	0.42	-0.02	-0.19	0.6	-0.22
Ndufa7	0.15	-0.18	0.5	0.42	0	-0.23	0.71	-0.25
Fabp3	0.22	0.21	-0.05	0.38	-0.2	-0.31	0.16	0.7
Mtif2	0.22	-0.18	-0.23	0.05	-0.09	-0.22	-0.15	0.38
Chtf8	-0.13	-0.18	0.01	-0.1	0	0.1	-0.07	-0.13
Idh3a	0.28	0.21	-0.01	0.24	-0.2	-0.26	-0.03	0.26
Usp13	0.03	0.21	-0.08	0	0.07	0.1	-0.05	-0.06
Srsf2	0.14	-0.18	0.21	-0.03	-0.44	-0.27	-0.21	0.37
Des	-0.07	0.21	-0.04	-0.01	0.17	0.07	0.07	-0.12
Myo1c	0.14	0.21	0.05	-0.12	-0.09	0.1	-0.02	0.05
Sbds	-0.02	-0.17	-0.07	0.06	0.06	-0.03	-0.14	0.07
Mmab	0.16	-0.17	0.01	0.64	0.16	-0.25	-0.38	0.02
Alkbh3	-0.09	-0.17	0.14	-0.03	-0.2	0.11	-0.24	-0.28
Ndufb7	0.12	-0.17	0.31	0.34	0.02	-0.22	0.59	-0.16
Thbs1	0.23	-0.17	-0.02	0.79	-0.66	-0.08	-0.2	0.04
Nars	-0.18	-0.17	-0.39	0.27	0.12	-0.2	-0.43	0.01
Slc25a12	0.07	-0.17	0.32	0.2	0.07	-0.04	0.16	-0.03
Hbb.b1	0.43	-0.17	1.43	0.96	-0.29	0.36	-1.35	0.21
Slc25a13	0.05	-0.17	0.41	0.24	0.06	-0.07	0.32	-0.03
Jagn1	0.11	-0.17	0.07	0.09	0.17	-0.07	0.07	-0.09
Cox7a2	-0.16	-0.17	0.4	0.1	0.18	-0.04	0.37	-0.07
Dad1	0.11	-0.17	-0.04	0.18	0.16	-0.11	0.06	-0.03
Ndufb9	0.13	-0.17	0.5	0.4	-0.08	-0.15	0.59	-0.21
Zhx2	0	0.2	0.03	0.03	0.07	0.02	-0.21	-0.13
Phf3	-0.17	-0.17	0.2	0.13	0.21	0.05	-0.08	-0.07
Mad1l1	-0.12	0.2	0.13	0.2	0.5	0.31	0.08	-0.07
Rpl22l1	-0.11	0.2	-0.13	-0.37	0.15	0.06	0.16	0.05
Upf1	-0.07	-0.17	0.03	-0.17	-0.01	-0.21	-0.2	-0.02
Cpt1a	0.14	0.2	0	-0.11	0.09	-0.15	-0.25	0.12
Myh3	-0.1	0.2	0.29	-0.11	-0.03	0.09	-0.32	-0.06
Snw1	0.07	0.2	0.07	0.01	0.11	0.18	-0.01	0.02
Rbm3	-0.04	0.2	0.03	-0.24	-0.09	-0.2	0.1	0.31
Cspg4	-0.13	0.2	-0.1	-0.01	0.02	-0.05	0.13	0.14
Emc4	-0.07	0.2	0	-0.03	0.05	-0.04	-0.05	0.12
Usp2	-0.08	0.2	0.03	-0.16	0.19	-0.01	-0.06	-0.02
Mlf2	0.14	0.2	0.23	-0.16	0.05	0.1	0.13	0
Strap	-0.16	-0.17	0.05	0.02	-0.1	-0.31	-0.09	0
Ptges2	0.05	-0.17	0.08	-0.03	0	0.04	0	0.01
Mettl7a1	0.11	-0.17	0.06	0.03	-0.08	-0.14	-0.06	0.12
Fxyd1	0.19	0.2	0.3	0.09	0.07	0.02	0.56	0.07
Pura	-0.17	-0.17	-0.04	-0.17	-0.01	-0.22	-0.28	-0.07
Mtch1	-0.07	-0.17	0.02	-0.04	-0.06	-0.03	-0.21	0.05
Ndc1	-0.01	0.2	-0.13	-0.27	-0.17	0.11	-0.12	-0.06
Pygb	-0.1	0.2	0.19	0.17	-0.14	-0.39	-0.02	0.12
Ddx39a	-0.01	0.2	-0.19	0.03	0.25	0	-0.07	-0.11
Iqgap1	0.1	-0.17	0.02	-0.11	-0.1	0.16	-0.17	0.05
Arhgap12	0.12	0.2	-0.22	-0.17	-0.09	-0.01	-0.11	0.22
Hspb8	0.04	0.2	0.09	-0.02	0.08	0.21	0.16	0
Mrpl14	0.03	0.2	0.1	0.04	0.22	0.02	-0.12	0.05
Eif4e2	-0.06	0.2	0.1	-0.3	-0.04	-0.2	-0.27	-0.18
Capza2	-0.05	0.2	0.04	-0.05	0.21	0.11	-0.01	-0.09
Hspa2	-0.11	0.2	0.03	-0.01	-0.43	0.2	0.93	0.17
Cltc	0	-0.17	0.1	-0.14	-0.05	-0.09	0.17	-0.1
Eif2s1	-0.03	0.2	-0.03	-0.02	-0.07	0.08	0.12	0.21
Psmb6	-0.02	-0.17	0.04	-0.07	0.06	-0.13	0.13	-0.17
Recql	-0.01	-0.16	-0.07	-0.03	-0.03	0.06	-0.21	0.02
Ndufv2	0.14	-0.16	0.53	0.51	0	-0.12	0.75	-0.22
Ndufv1	0.14	-0.16	0.57	0.48	-0.01	-0.23	0.69	-0.28
Manf	0.03	-0.16	-0.02	0.18	-0.09	-0.1	-0.18	-0.11
Abcb1a	-0.03	-0.16	-0.14	0.3	-0.05	-0.13	-0.07	0.19
Farp1	-0.13	-0.16	-0.32	-0.07	-0.35	0.07	-0.37	0.11
Mprip	-0.42	0.19	-0.07	0.06	0.09	0.37	0.15	0.03
Slfn5	0.07	-0.16	-0.07	0.05	0.25	-0.03	-0.14	0.02
Pigs	-0.18	0.19	0.21	-0.29	-0.27	-0.12	-0.25	0.13
Lsp1	0.11	-0.16	0.02	0.16	-0.07	0.38	0.08	-0.13
Ktn1	-0.01	0.19	0.07	-0.33	0.17	-0.5	-0.16	-0.02
Ccdc9b	0	-0.16	-0.12	-0.19	-0.02	0.12	0.01	0.08
Dnajc8	-0.18	-0.16	-0.3	-0.21	-0.1	-0.16	-0.37	0.02
Ddx3x	-0.11	-0.16	-0.13	-0.16	-0.11	-0.21	-0.09	-0.07
Apoh	0.24	0.19	0.15	0.23	0.16	0.3	0.12	0.12
Kars	-0.03	-0.16	-0.12	-0.05	0.05	-0.13	-0.22	-0.16
Kcnj11	0.16	0.19	-0.14	-0.1	0.1	-0.04	0.03	-0.06
Atp1a2	0.37	0.19	0.11	0.05	0	-0.12	0.06	0.24
mt.Co3	-0.08	-0.16	0.76	0.42	0.09	-0.18	0.38	-0.04
Sec61a2	-0.25	0.19	-0.06	0.07	0.08	0.04	-0.29	0.09
Gtpbp8	-0.03	-0.16	0.02	0.02	0.04	0.04	-0.21	0.08
Rpl3	0.03	-0.16	-0.1	-0.11	-0.24	-0.08	0.02	0.06
Pabpc4	-0.12	-0.16	0.01	-0.16	0.01	-0.19	-0.18	-0.05
Pnpla6	-0.1	0.19	0.18	0.07	0.23	0.14	-0.12	-0.1
Mrpl19	0.05	-0.16	0.06	0.26	-0.36	-0.26	0.18	0.16
Lrrfip1	-0.03	-0.16	-0.18	-0.17	-0.19	0.11	-0.1	0
Obscn	-0.11	0.19	-0.03	-0.07	0.14	0.08	-0.26	-0.04
Tmed7	0.06	-0.16	0.17	0.1	0.08	0.05	0.08	0.15
Vapb	-0.04	0.19	-0.05	-0.09	0.18	0.08	-0.09	-0.08
Ablim1	-0.07	0.19	0.05	-0.04	0.15	0.09	-0.15	-0.01
Ehd1	0.38	-0.16	0.03	0.35	-0.24	-0.28	-0.04	0.11
Lgals9	0.06	-0.16	-0.4	-0.02	-0.23	-0.06	0.45	-0.12
Homer1	0	0.19	0	-0.05	0.08	0.06	-0.16	0.05
Cox7a1	0.13	-0.16	0.61	0.39	0.12	-0.07	0.56	-0.11
Wfs1	0.13	0.19	0.08	0.15	0.05	-0.07	0.18	-0.02
Mrpl58	0.26	-0.16	0.29	0.19	0.12	0.04	0.16	0.1
Ndufb4	0.05	-0.16	0.57	0.45	0.04	-0.22	0.72	-0.22
Xrcc1	-0.14	0.19	-0.17	-0.33	-0.26	0.05	-0.27	-0.03
Prpf4	-0.12	-0.16	0.06	-0.16	-0.04	0.05	-0.14	-0.02
Chchd6	-0.01	-0.16	0.03	0.03	-0.01	0	0.18	0.01
Kpnb1	-0.15	0.19	-0.03	-0.08	0	0.03	0.1	-0.08
Ddx19a	0.02	0.19	-0.01	-0.25	0.28	-0.05	-0.15	0.07
Ndufs6	0.06	-0.16	0.35	0.43	0.06	-0.11	0.67	-0.17
Ruvbl2	-0.08	0.19	-0.09	-0.13	-0.1	0.14	-0.05	-0.01
Ndufb11	0.11	-0.16	0.45	0.4	0.03	-0.15	0.55	-0.2
Bcam	0.16	0.19	0.12	0.07	0.03	-0.1	0.2	0.09
Hsd17b8	0.1	0.19	0.1	0.2	0.19	0.26	-0.18	0.07
Capza1	0	0.19	-0.01	0.12	0.05	0.1	0.02	-0.05
Sipa1	0	0.19	0.07	-0.08	0.05	0.05	-0.11	0.27
Ndufb3	0.23	-0.16	0.65	0.51	0.07	-0.21	0.83	-0.21
Asph	0	0.19	0.21	0.02	0.08	-0.02	0.15	0.07
Cox6a1	0.03	-0.16	0.16	0.18	-0.01	-0.18	0.39	-0.01
Tnni3	0.02	0.19	-0.06	-0.03	0.28	0.09	-0.03	-0.11
Cox6a2	0.12	-0.16	0.4	0.26	-0.03	-0.15	0.42	-0.13
Pgam2	0.12	0.19	-0.09	0.33	-0.11	-0.03	0.18	0.46
Sccpdh	0.1	0.19	0.26	0.08	-0.02	-0.01	0	0.09
Dnttip2	-0.45	0.19	-0.29	-0.42	0.3	0.09	-0.17	-0.07
Rfx1	-0.07	0.19	-0.43	-0.16	-0.23	-0.16	-0.04	-0.03
Ldb3.1	-0.05	0.19	0.02	0.01	0.21	0.1	0.04	-0.07
Coq10a	-0.02	-0.15	0.19	0.11	0.01	0.01	-0.13	0.1
Lrrc39	0.09	0.19	0.06	0.05	0.25	0.16	-0.26	0.01
Dctn4	-0.14	-0.15	-0.35	0.01	0	0.09	-0.05	-0.01
Timp3	0.19	-0.15	-0.02	0.41	-0.45	-0.15	-0.21	0.06
Ndufs7	0.12	-0.15	0.46	0.4	0.01	-0.1	0.56	-0.2
Slirp	0.25	-0.15	0.32	0.14	-0.03	-0.05	-0.18	-0.01
Ryr2	-0.07	0.19	-0.01	-0.17	0.1	0.07	-0.32	0
Casq2	-0.03	-0.15	0.09	0	-0.15	-0.17	0.22	0.14
Cox7b	0.09	-0.15	0.77	0.41	-0.04	-0.24	0.53	-0.11
Slc25a31	0.04	-0.15	0.04	0.16	0.17	0.08	0.03	0.12
Ndufa3	0.14	-0.15	0.64	0.43	0.13	-0.19	0.83	-0.16
Ppp1r3a	0.08	0.19	0.1	0.02	0.09	-0.21	0.08	-0.12
Rnmt	-0.36	-0.15	0.04	-0.19	0.07	-0.11	-0.4	-0.26
Ehhadh	0.06	0.19	0.13	0.07	0.08	0.03	-0.23	0.39
Flna	0.17	-0.15	-0.03	0.19	-0.29	-0.25	-0.17	0.14
Psmb5	-0.02	-0.15	0.21	-0.12	0.07	0.03	0.19	-0.09
Abcf1	-0.01	-0.15	0.05	0.06	-0.12	-0.02	-0.04	0.1
Eif3k	0.01	-0.15	0.13	0.09	-0.22	-0.26	0.33	0.04
Vrk1	-0.39	0.18	-0.5	-0.44	0.02	0.22	-0.12	-0.12
Vps52	0.11	-0.15	0.09	0.11	-0.15	0.02	0.14	0.12
Ndufa5	0.12	-0.15	0.57	0.47	-0.03	-0.14	0.72	-0.2
Pars2	0	-0.15	0.16	-0.07	-0.01	0.12	-0.4	-0.02
Sun1	-0.12	0.18	-0.08	-0.13	0.08	0.22	-0.32	-0.12
Arpp19	0.06	-0.15	-0.24	0.21	0.08	-0.33	-0.32	-0.05
Dstn	-0.06	-0.15	-0.33	-0.19	0.02	-0.08	-0.02	-0.08
Lamb2	0.01	0.18	0.08	0.07	0.05	0	-0.11	0.12
Ndufa8	0.18	-0.15	0.48	0.43	0.03	-0.22	0.74	-0.27
Myl4	0.09	0.18	0.17	-0.07	-0.42	-0.33	-0.43	0.27
Ndufc2	0.06	-0.15	0.47	0.47	-0.02	-0.15	0.66	-0.13
Ehd4	0.06	-0.15	-0.1	-0.01	-0.06	0.14	-0.13	0.1
Cdh13	0.01	0.18	0.1	-0.05	-0.16	-0.28	0.44	-0.11
Cyb5r3	0.25	0.18	0.52	0.49	0.17	-0.09	0.98	-0.05
Ckmt2	0.14	0.18	-0.07	-0.04	0.12	0.3	-0.18	0.09
Tnnt2	-0.07	0.18	0.17	-0.04	0.27	0.08	0.1	-0.11
Tial1	-0.07	-0.15	-0.07	-0.11	-0.04	-0.1	-0.24	0.04
Msi2	-0.15	-0.15	0.08	-0.15	0.01	-0.18	-0.31	-0.11
Obscn.1	-0.05	0.18	-0.16	-0.18	0.05	0.1	-0.33	-0.06
Prph	0.27	-0.15	0.36	-0.03	-0.51	-0.25	-0.05	0.13
Ppp2ca	0.22	0.18	0.16	-0.05	-0.18	-0.01	0.26	0.22
Hsdl2	0.22	0.18	0.08	0.04	0.02	0.09	-0.34	0.1
Dynlrb1	0.04	0.18	0.03	0.02	0.06	0.06	0.2	0
Lama2	-0.04	0.18	0.03	0.02	0.08	-0.1	-0.09	0
Pex3	-0.03	0.18	0.12	0.15	0.12	-0.14	0.35	0.01
Vwf	0.26	-0.15	0.02	0.2	-0.63	-0.55	0.01	0.1
Acad12	0.17	0.18	0.24	0.24	0.01	0.45	0.27	0.03
Tpm1	-0.01	0.18	-0.03	0	0.26	0.09	0.04	-0.06
Bod1l	-0.2	0.18	-0.28	-0.14	0.51	0.04	-0.07	-0.14
Parp3	-0.08	0.18	-0.24	0	-0.04	0.15	0.02	0
Ppip5k2	0.16	0.18	-0.2	-0.05	0.06	0.21	-0.41	0.12
Ccdc90b	0.32	0.18	0.48	0.42	-0.06	-0.21	0.76	-0.1
Heatr1	-0.22	0.18	0.15	-0.22	0.11	0.3	-0.18	-0.02
Adamtsl5	0.14	0.18	-0.1	0.1	0.15	-0.02	0.09	0.18
Abcb8	0.02	-0.15	0.24	0.15	-0.06	-0.22	0.24	0
Maip1	0.15	0.18	0.1	0.07	0.01	0.11	0.21	0.15
Arl6ip5	-0.02	-0.15	-0.07	-0.01	0.06	-0.22	-0.04	-0.13
Cnn3	0.44	0.18	0.23	0.14	-0.11	0.14	0.5	-0.03
Ndufs4	0.17	-0.15	0.53	0.47	0	-0.2	0.77	-0.3
Stx7	0.04	0.18	0.06	-0.15	-0.12	0.1	0.54	-0.04
Myoz2	-0.14	0.18	0.01	0	0.21	0.09	0.02	-0.1
Ddx21	-0.1	0.18	-0.1	-0.19	0.04	0.19	-0.11	-0.09
Mtfp1	0.4	0.18	0.73	0.75	0.17	-0.1	1.38	-0.22
FAM120A	0.05	-0.15	0.02	-0.06	0.01	-0.15	-0.25	-0.02
Efhd2	0.31	-0.15	0.24	0.02	-0.14	-0.07	0.24	0.12
Trrap	-0.14	0.18	-0.13	-0.15	-0.06	0.15	-0.03	-0.02
Fhl1	0.15	-0.14	-0.1	0.16	-0.12	0.02	0.88	0.22
Synpo	-0.05	0.18	-0.03	0.02	0.14	0.09	0.07	-0.07
Calm1	0.16	0.18	0.03	-0.02	-0.11	0	0.15	0.04
Ybx1	-0.13	-0.14	-0.09	-0.19	0.03	-0.25	-0.14	0.03
Dld	0.28	0.18	0.43	0.59	-0.13	-0.2	1.09	-0.17
Prkaa2	0.07	-0.14	0.12	0.1	0	-0.07	-0.07	-0.07
Tppp	0.04	-0.14	0.02	0.05	0.17	0.06	-0.32	0.02
Eif1a	0.01	-0.14	-0.06	0.05	-0.3	-0.42	0.26	0.45
Mtnd5	0.06	-0.14	0.37	0.49	0	-0.23	0.52	-0.2
Eif4e	-0.37	0.18	0.08	-0.23	-0.28	0.07	-0.19	-0.26
Eif4g3	-0.06	-0.14	0.29	-0.02	0.12	0	-0.16	0.05
Timmdc1	0.05	-0.14	0.37	0.5	-0.04	0.03	0.28	-0.02
Dip2c	0.24	0.18	0.16	-0.2	0.05	-0.19	0.23	0.13
Eif4h	-0.14	-0.14	0.12	0.18	0.01	-0.41	-0.21	-0.11
Sgcg	0.01	0.18	-0.01	-0.15	0.14	0.03	0.13	0.02
Atp1b1	0.27	0.18	0.32	0.18	0.11	-0.08	0.46	-0.05
Ndufs2	0.11	-0.14	0.44	0.46	-0.02	-0.22	0.58	-0.14
Kif1c	0.06	-0.14	-0.01	-0.12	-0.07	-0.05	-0.33	0.06
Sept11	0.01	-0.14	-0.3	-0.08	-0.15	-0.06	-0.18	0
Trim72	0.41	0.18	0.23	0.58	-0.24	-0.35	0.46	0.38
Bud31	-0.21	0.18	-0.19	-0.36	-0.02	0.01	-0.4	0.02
Abhd16a	-0.01	-0.14	0.1	0.15	0.03	-0.16	0.14	-0.06
Tmem143	0.02	-0.14	0.3	0.18	-0.19	-0.05	0.26	-0.04
Myo18b	-0.04	0.17	-0.03	-0.02	0.13	0.11	-0.18	-0.01
Mybphl	0.14	0.17	0.2	-0.1	-0.44	-0.33	-0.4	0.18
Cds2	0.06	0.17	0.17	0	-0.05	-0.14	0.08	0.03
Mrm3	0.53	0.17	0.18	0.18	-0.06	0.03	-0.21	0.05
Mark2	-0.05	-0.14	-0.08	0.11	0	0.05	0.06	0.09
Ndufa6	0.13	-0.14	0.52	0.5	0	-0.22	0.83	-0.26
Tpi1	0.07	-0.14	-0.12	0.02	0.05	-0.07	-0.09	0.19
Erlin2	0.18	0.17	0.12	0.14	0.11	0.05	0.22	0.02
Prdx2	0.09	-0.14	0.01	0.12	-0.02	-0.07	-0.87	0.19
Ndufs3	0.21	-0.14	0.54	0.47	0	-0.18	0.71	-0.22
Rab11fip5	-0.15	0.17	0.05	0.07	-0.25	-0.07	-0.02	-0.01
Tagln	0.52	0.17	0.35	0.53	0.3	-0.23	0.04	0
Myom1	-0.09	0.17	0.03	-0.04	0.17	0.11	-0.25	-0.05
Nebl.1	-0.06	0.17	0	-0.01	0.11	0.05	-0.04	-0.01
Macrod1	0.29	0.17	0.3	0.54	-0.03	-0.28	-0.16	0.23
Rala	-0.04	-0.14	0.13	-0.06	-0.12	-0.05	0.11	0.04
Palmd	-0.03	0.17	0.12	0.01	0.04	0.05	0.01	0.07
Nid1	0	0.17	0.09	0.1	0.12	-0.01	-0.04	0.02
Eps15l1	0.08	-0.14	0.19	0.02	-0.05	-0.02	0.29	-0.06
Copa	0.06	-0.14	0.12	0.06	0.09	-0.35	0.41	0.09
Agk	-0.06	-0.14	0.03	0	-0.08	-0.17	0.29	0.03
Lamc1.1	0.01	0.17	0.01	0	0.05	-0.1	-0.15	0.04
Nup35	-0.13	0.17	-0.02	-0.24	0.31	0.37	-0.27	0
Vps39	-0.29	-0.14	-0.19	0.28	-0.13	-0.17	0.37	-0.15
Ddx42	-0.14	-0.14	-0.09	0.05	-0.04	-0.32	0.25	-0.07
Ubxn4	0.03	-0.14	-0.14	-0.04	-0.26	-0.1	-0.13	0.02
Aimp2	0.07	-0.14	-0.13	0.01	0.07	-0.05	-0.17	-0.09
Psmd12	-0.14	-0.14	0.03	0.02	0.14	-0.02	0.16	-0.29
Ptcd2	0.11	-0.14	0.04	0.07	0.05	0.09	-0.29	0.1
Snta1	0.03	0.17	-0.01	-0.08	0.06	0.12	0.07	-0.02
Stub1	0.03	0.17	-0.07	-0.17	0.06	0.16	0.15	0.16
Tor1aip1	-0.14	0.17	-0.13	-0.16	0.09	0.19	-0.27	-0.13
Plrg1	0	0.17	-0.07	-0.18	0	0.06	-0.31	-0.04
Nexn	0.04	0.17	0.01	-0.03	0.12	0.13	0.07	-0.01
Mrps15	0.31	-0.14	0.23	0.29	0.13	-0.07	0.28	0.13
Morc2a	-0.13	0.17	-0.01	0.04	0.27	0.05	-0.28	-0.11
Acat1	0.06	0.17	0.1	0.14	-0.04	0.15	-0.2	0.2
Naa25	0.08	-0.13	-0.04	0.22	-0.01	-0.1	0	0.04
Psmc1	-0.14	-0.13	-0.13	-0.09	0.03	-0.07	0.04	-0.07
Tmem35a	-0.26	-0.13	0.1	-0.36	0	-0.07	-0.4	0.07
Ndufb5	0.16	-0.13	0.47	0.46	-0.01	-0.2	0.72	-0.22
Mul1	-0.04	-0.13	-0.02	0.13	-0.06	-0.02	0.08	-0.08
Pdlim5	-0.08	0.17	0.04	0.02	0.22	0.05	0.06	-0.06
Cenpv	-0.11	0.17	-0.17	-0.26	0.12	0.13	-0.42	-0.08
Ndufb10	0.14	-0.13	0.52	0.44	0.05	-0.19	0.7	-0.16
Ndufb8	0.05	-0.13	0.37	0.38	-0.02	-0.13	0.47	-0.14
Npm1	-0.14	-0.13	-0.07	-0.32	-0.07	0.15	-0.09	0.02
Cggbp1	-0.38	0.17	0.04	-0.26	0.29	0.06	-0.19	0.08
Srsf5	-0.07	-0.13	0.05	-0.12	-0.21	-0.18	0.01	0.15
Map2k3	0.03	-0.13	0.04	0.12	0	-0.01	-0.4	-0.02
Mfge8	0.1	-0.13	0.22	0.11	0.05	-0.06	0.14	-0.02
Csde1	-0.08	-0.13	0.14	-0.13	0.02	-0.15	-0.28	0.01
Pcid2	-0.04	-0.13	0.04	-0.07	0.08	0	-0.21	0.06
Tmem43	0.02	0.17	0.17	-0.08	-0.39	0.15	0.21	0
Synpo2	-0.03	0.17	0.02	-0.01	0.12	0	-0.17	-0.05
Nme2	-0.16	-0.13	0.12	0.23	-0.04	-0.21	0.23	0.14
Ints1	-0.03	0.17	-0.11	-0.08	0.01	0.14	-0.18	0.03
Lasp1	0.05	0.17	-0.11	0.15	0.01	0.08	0.02	-0.03
Map7	-0.29	-0.13	-0.14	0.13	-0.02	-0.15	0.57	-0.07
Ndufa12	0.11	-0.13	0.45	0.45	-0.05	-0.17	0.66	-0.23
Hspb6	0.58	0.17	0.17	-0.01	0.12	0.06	0.57	0.19
Nek7	0.08	-0.13	0.07	0.23	0.71	-0.01	-0.13	0.02
Tmem209	-0.17	0.17	-0.13	-0.11	0.11	-0.02	-0.46	-0.25
Ncbp1	-0.47	0.17	-0.08	-0.27	0.03	0.24	-0.14	0.2
Rilp	-0.22	0.17	-0.52	-0.22	-0.06	0.21	-0.31	-0.53
H3f3c	-0.13	0.17	-0.28	-0.34	0.13	0.26	-0.38	-0.2
Actr3b	0.07	0.17	0.27	-0.01	0.4	0.03	0.04	-0.02
Pelp1	-0.13	-0.13	-0.09	-0.21	0	0.02	-0.24	0.21
Lmf1	-0.17	0.17	0.02	0	0.15	-0.01	0.1	0.09
Esd	0.01	0.17	0.14	0.03	0.03	0.14	-0.15	0.02
Mtus2	-0.08	-0.13	-0.13	-0.03	-0.05	0.06	-0.06	-0.07
Ap1b1	0.14	-0.13	0.11	-0.17	0.01	0.19	0.19	0.02
Fsd2	-0.08	0.16	-0.05	0.01	0.07	0.18	-0.23	0
Anxa2	0.15	-0.13	0	0.04	-0.16	0.06	0.11	-0.22
Ccdc141	-0.06	0.16	0	-0.08	0.06	0.12	-0.34	-0.02
Myo18a	0.09	0.16	0.02	-0.18	0.1	-0.03	-0.27	-0.02
Mtnd1	0.12	-0.13	0.6	0.57	0.12	-0.15	0.49	-0.3
Eif3j2	0.25	-0.13	0.14	0.04	-0.28	-0.34	0.48	0.11
Fkbp8	0.01	-0.13	0.02	-0.13	-0.05	0	-0.09	0.04
Eno3	-0.07	0.16	0.02	0	0.13	0.18	-0.08	-0.03
