PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Acad8	0.14	0.41	0.13	0.37	0.13	0.55	-0.28	0.24
Vim	0.22	-0.41	-0.16	-0.16	-0.2	0.08	0.1	0.05
Ivd	0.26	0.41	-0.02	0.21	-0.18	-0.35	-0.14	0.35
Cyb5a	0.16	0.4	0.41	0.5	0.18	0.13	1.07	-0.31
Acadvl	0.16	-0.39	-0.16	-0.4	-0.05	-0.18	-0.42	0.08
Ngp	-0.08	0.39	-0.25	0.63	-0.33	1.09	1.06	0.1
Canx	0.42	0.39	0.59	0.01	-0.03	-0.21	0.98	-0.12
Plekha5	-0.47	0.39	-0.53	-0.45	0.25	0.01	-0.57	-0.39
Cltb	-0.04	-0.38	-0.04	-0.02	0	-0.22	0.61	-0.08
Idh3b	0.45	0.39	0.14	0.14	-0.02	0.14	0.24	0.28
Alg9	0.05	0.39	0.21	-0.32	-0.15	0.36	-0.71	-0.24
Ank2	0.15	-0.38	0.3	-0.37	-0.38	0.02	-0.66	0.14
Erp29	0.27	0.38	0.36	0.54	0.07	-0.16	0.55	0.1
Ank3	0.19	0.38	-0.05	-0.11	-0.09	-0.07	0.15	-0.13
Shroom4	0.06	-0.37	-0.2	-0.16	-0.25	-0.3	-0.36	0.14
Taf15	-0.48	0.37	-0.07	-0.2	0.57	0.46	-0.48	0.02
Ndrg2	0.17	0.37	0.22	-0.11	-0.03	-0.06	0.3	-0.22
Trim3	0	-0.36	-0.46	0.28	-0.49	-0.29	0.23	0.01
Idh3g	0.81	0.36	0.35	0.69	-0.05	-0.26	0.3	0.44
Myl7	0.07	0.36	0.43	0.1	-0.44	-0.44	-0.11	0.28
Echdc3	0.18	-0.36	-0.05	0.15	-0.2	0.05	-0.16	-0.08
Mpc2	0.04	-0.35	0.03	0.08	0.03	0.05	-0.18	0.09
Slc25a1	0.04	-0.35	-0.07	-0.13	-0.25	-0.04	-0.33	0.11
Hdgfl2	-0.1	-0.35	-0.04	-0.19	-0.17	-0.08	-0.41	0.08
Hspg2	0.06	-0.35	-0.02	0.46	-0.01	-0.23	0.67	0.11
Tuba1b	0.34	-0.35	0.17	0.04	-0.44	-0.1	-0.17	0.16
Trip6	-0.04	-0.35	-0.1	0.18	0.23	0.15	-0.01	-0.02
Eif5a	0.84	0.35	0.49	0.67	0	-0.08	0.43	0.11
Bzw2	-0.03	-0.34	-0.01	-0.18	-0.08	0	-0.44	0.11
Zc3hav1	-0.27	-0.34	-0.15	-0.16	0.05	-0.04	-0.14	-0.06
Pde4dip	-0.03	-0.34	-0.24	0.18	0.02	-0.3	0.31	0.04
Plpbp	-0.41	-0.34	-0.07	0.96	0.54	-0.1	-0.58	0.13
Dut	0.2	-0.34	0.15	-0.2	-0.14	0.11	-0.45	0.07
Rai14	0.02	-0.34	-0.08	-0.08	0.21	0.38	0.19	-0.12
Tox4	0.02	0.34	-0.24	-0.21	0	0.06	-0.4	-0.16
Ddx27	0.04	0.34	0.34	-0.05	0.18	0.03	0.02	0.03
Mp68	0.07	-0.33	0.08	-0.02	0.05	0.13	-0.24	0.07
Ddx56	-0.03	0.34	-0.09	-0.18	-0.08	0.16	-0.31	-0.01
Exoc8	-0.06	0.34	0.07	-0.3	0.02	-0.13	0.02	0.08
Cox5a	0.36	-0.33	0.64	0.48	-0.08	-0.25	0.57	-0.25
Nucks1	-0.4	-0.33	-0.52	-0.22	-0.26	0.05	-0.81	0.48
Sept6	0.01	-0.33	-0.16	0.09	-0.14	-0.26	0.02	0.22
Fhl2	0.1	0.34	-0.07	0.49	0.03	0.17	-0.21	0.12
Cox7c	0.02	-0.33	0.68	0.42	-0.09	0.01	0.47	-0.27
Cpt1b	0.2	0.34	0.08	0.1	0.07	0.2	-0.06	0.12
Ndufv3.1	-0.09	-0.32	0.12	0.29	-0.12	-0.12	0.47	-0.07
Vwa8	0.13	0.33	-0.05	0.18	0.06	-0.09	-0.21	0.01
Scp2	0.53	0.33	-0.29	0.41	-0.23	0.51	0.04	0.39
Fn1	0.22	0.33	0.09	0.33	-0.65	0.14	0.67	0.02
Slc25a4	0.04	-0.32	0.15	0.02	0.06	-0.03	-0.1	0.06
Ak2	-0.07	-0.32	0.07	-0.07	-0.17	-0.1	-0.35	0.08
Atad1	-0.12	-0.32	0.12	0.05	-0.05	-0.11	-0.04	-0.04
Pgm1	0.56	0.33	0.06	0.36	-0.29	-0.35	0.04	0.57
Col14a1	-0.27	-0.31	-0.34	-0.66	-0.17	-0.1	-0.6	-0.09
Agl	-0.16	-0.31	0.11	0.43	0.02	-0.4	0.22	0.1
Hars	0.04	-0.31	-0.17	0	-0.11	-0.02	-0.34	0.01
F13a1	0.01	0.33	0.17	0.72	-0.85	-0.61	0.49	0.09
Tpm2.1	0.03	-0.31	0.08	-0.07	-0.17	-0.09	0.43	0.06
Sh3bgrl	-0.09	-0.31	-0.24	-0.47	0.41	0.49	-0.43	-0.28
Ppp1r8	-0.07	0.32	-0.13	-0.08	0.24	0.11	-0.14	0.23
Mcpt4	-0.13	0.32	-0.03	-0.2	-0.1	-0.17	0.08	0.08
